weather,occupancy_count,layout_index,seat_list,active_zones,baseline,baseline_power_W,optimized_power_W,absolute_saving_W,outcome
Night,15,5,3;4;5;7;10;11;12;13;14;16;17;18;19;21;23,3,Zonal PIR ceiling-only,514.8,303.9,210.89999999999998,GA lower
Overcast,1,1,0,1,Zonal PIR ceiling-only,132.0,72.0,60.0,GA lower
Overcast,1,2,3,1,Zonal PIR ceiling-only,132.0,72.0,60.0,GA lower
Overcast,1,3,8,1,Zonal PIR ceiling-only,105.6,44.1,61.49999999999999,GA lower
Overcast,1,4,20,1,Zonal PIR ceiling-only,0.0,0.0,0.0,Equal
Overcast,1,5,23,1,Zonal PIR ceiling-only,0.0,6.0,-6.0,GA higher
Overcast,2,1,2;17,2,Zonal PIR ceiling-only,171.6,76.5,95.1,GA lower
Overcast,2,2,3;23,2,Zonal PIR ceiling-only,132.0,72.0,60.0,GA lower
Overcast,2,3,4;7,1,Zonal PIR ceiling-only,118.8,61.8,57.0,GA lower
Overcast,2,4,13;18,2,Zonal PIR ceiling-only,105.6,9.0,96.6,GA lower
Overcast,2,5,21;23,1,Zonal PIR ceiling-only,0.0,0.0,0.0,Equal
Overcast,3,1,0;1;2,1,Zonal PIR ceiling-only,132.0,84.0,48.0,GA lower
Overcast,3,2,0;17;19,2,Zonal PIR ceiling-only,198.0,81.0,117.0,GA lower
Overcast,3,3,6;7;16,2,Zonal PIR ceiling-only,184.8,76.5,108.30000000000001,GA lower
Overcast,3,4,6;20;22,2,Zonal PIR ceiling-only,105.6,69.0,36.599999999999994,GA lower
Overcast,3,5,13;17;22,2,Zonal PIR ceiling-only,105.6,9.0,96.6,GA lower
Overcast,4,1,0;5;13;22,3,Zonal PIR ceiling-only,184.8,79.5,105.30000000000001,GA lower
Overcast,4,2,2;3;10;12,2,Zonal PIR ceiling-only,224.4,88.5,135.9,GA lower
Overcast,4,3,3;8;11;19,3,Zonal PIR ceiling-only,303.6,88.5,215.10000000000002,GA lower
Overcast,4,4,4;6;8;10,2,Zonal PIR ceiling-only,211.2,84.0,127.19999999999999,GA lower
Overcast,4,5,7;8;14;18,3,Zonal PIR ceiling-only,277.2,84.0,193.2,GA lower
Overcast,5,1,1;2;7;9;21,3,Zonal PIR ceiling-only,211.2,87.0,124.19999999999999,GA lower
Overcast,5,2,1;3;14;17;23,3,Zonal PIR ceiling-only,237.6,87.0,150.6,GA lower
Overcast,5,3,2;3;7;8;12,2,Zonal PIR ceiling-only,237.6,91.5,146.1,GA lower
Overcast,5,4,2;9;12;17;20,3,Zonal PIR ceiling-only,264.0,87.0,177.0,GA lower
Overcast,5,5,6;11;18;19;22,3,Zonal PIR ceiling-only,277.2,85.5,191.7,GA lower
Overcast,6,1,1;2;7;8;10;12,2,Zonal PIR ceiling-only,224.4,97.5,126.9,GA lower
Overcast,6,2,1;7;10;17;20;22,3,Zonal PIR ceiling-only,264.0,85.5,178.5,GA lower
Overcast,6,3,2;5;6;8;20;21,3,Zonal PIR ceiling-only,224.4,84.0,140.4,GA lower
Overcast,6,4,5;7;8;12;14;17,3,Zonal PIR ceiling-only,277.2,93.0,184.2,GA lower
Overcast,6,5,5;11;14;19;20;21,3,Zonal PIR ceiling-only,277.2,85.5,191.7,GA lower
Overcast,7,1,1;2;3;4;15;16;23,3,Zonal PIR ceiling-only,264.0,96.0,168.0,GA lower
Overcast,7,2,2;5;12;13;19;20;21,3,Zonal PIR ceiling-only,250.8,88.5,162.3,GA lower
Overcast,7,3,4;7;8;17;19;22;23,3,Zonal PIR ceiling-only,290.4,88.5,201.89999999999998,GA lower
Overcast,7,4,6;10;12;14;15;18;23,3,Zonal PIR ceiling-only,250.8,93.0,157.8,GA lower
Overcast,7,5,7;11;12;13;18;22;23,3,Zonal PIR ceiling-only,277.2,91.5,185.7,GA lower
Overcast,8,1,0;3;5;8;14;16;19;23,3,Zonal PIR ceiling-only,303.6,100.5,203.10000000000002,GA lower
Overcast,8,2,0;3;8;12;14;16;17;19,3,Zonal PIR ceiling-only,303.6,106.5,197.10000000000002,GA lower
Overcast,8,3,0;5;10;15;16;17;19;20,3,Zonal PIR ceiling-only,290.4,99.0,191.39999999999998,GA lower
Overcast,8,4,3;8;9;10;13;17;20;21,3,Zonal PIR ceiling-only,290.4,99.0,191.39999999999998,GA lower
Overcast,8,5,4;6;9;11;16;19;20;23,3,Zonal PIR ceiling-only,277.2,94.5,182.7,GA lower
Overcast,9,1,0;1;2;7;10;18;20;21;22,3,Zonal PIR ceiling-only,277.2,99.0,178.2,GA lower
Overcast,9,2,0;2;3;7;10;16;17;21;22,3,Zonal PIR ceiling-only,290.4,103.5,186.89999999999998,GA lower
Overcast,9,3,1;2;3;7;9;11;15;17;20,3,Zonal PIR ceiling-only,290.4,111.0,179.39999999999998,GA lower
Overcast,9,4,2;4;5;8;13;15;17;21;22,3,Zonal PIR ceiling-only,277.2,97.5,179.7,GA lower
Overcast,9,5,6;9;11;12;14;16;17;22;23,3,Zonal PIR ceiling-only,277.2,100.5,176.7,GA lower
Overcast,10,1,0;1;2;3;7;14;16;17;21;23,3,Zonal PIR ceiling-only,250.8,108.0,142.8,GA lower
Overcast,10,2,1;3;10;12;15;19;20;21;22;23,3,Zonal PIR ceiling-only,290.4,97.5,192.89999999999998,GA lower
Overcast,10,3,3;4;5;6;8;13;14;17;20;23,3,Zonal PIR ceiling-only,290.4,100.5,189.89999999999998,GA lower
Overcast,10,4,3;6;7;11;13;15;16;18;20;22,3,Zonal PIR ceiling-only,303.6,105.0,198.60000000000002,GA lower
Overcast,10,5,4;6;7;8;12;15;16;17;20;22,3,Zonal PIR ceiling-only,290.4,100.5,189.89999999999998,GA lower
Overcast,11,1,0;1;4;5;6;12;13;15;19;20;22,3,Zonal PIR ceiling-only,264.0,105.0,159.0,GA lower
Overcast,11,2,0;1;5;8;10;15;16;17;19;21;23,3,Zonal PIR ceiling-only,303.6,111.0,192.60000000000002,GA lower
Overcast,11,3,0;4;6;9;13;14;15;16;17;20;22,3,Zonal PIR ceiling-only,290.4,106.5,183.89999999999998,GA lower
Overcast,11,4,1;2;3;8;10;13;16;17;18;19;22,3,Zonal PIR ceiling-only,303.6,118.5,185.10000000000002,GA lower
Overcast,11,5,2;3;5;7;9;12;14;18;19;21;23,3,Zonal PIR ceiling-only,290.4,109.5,180.89999999999998,GA lower
Overcast,12,1,0;1;2;3;5;6;8;14;17;18;19;20,3,Zonal PIR ceiling-only,303.6,120.0,183.60000000000002,GA lower
Overcast,12,2,0;5;7;8;9;10;11;13;14;16;17;21,3,Zonal PIR ceiling-only,303.6,123.0,180.60000000000002,GA lower
Overcast,12,3,1;4;7;8;9;10;12;14;16;19;22;23,3,Zonal PIR ceiling-only,290.4,115.5,174.89999999999998,GA lower
Overcast,12,4,1;6;8;10;15;16;17;19;20;21;22;23,3,Zonal PIR ceiling-only,290.4,105.0,185.39999999999998,GA lower
Overcast,12,5,3;4;8;9;16;17;18;19;20;21;22;23,3,Zonal PIR ceiling-only,303.6,105.0,198.60000000000002,GA lower
Overcast,13,1,0;1;2;4;5;11;13;16;17;18;21;22;23,3,Zonal PIR ceiling-only,303.6,115.5,188.10000000000002,GA lower
Overcast,13,2,0;1;4;5;6;7;9;11;14;15;18;22;23,3,Zonal PIR ceiling-only,290.4,118.5,171.89999999999998,GA lower
Overcast,13,3,0;1;4;5;8;10;12;13;14;18;21;22;23,3,Zonal PIR ceiling-only,290.4,114.0,176.39999999999998,GA lower
Overcast,13,4,0;3;5;6;7;8;10;13;18;19;21;22;23,3,Zonal PIR ceiling-only,303.6,114.0,189.60000000000002,GA lower
Overcast,13,5,1;2;3;4;6;7;11;12;13;14;17;19;22,3,Zonal PIR ceiling-only,303.6,124.5,179.10000000000002,GA lower
