weather,occupancy_count,layout_index,seat_list,active_zones,strategy,ceiling_power_W,task_power_W,total_power_W
Overcast,2,1,2;17,2,Rule-based hybrid,66.0,10.5,76.5
Overcast,2,1,2;17,2,Optimized hybrid,66.0,10.5,76.5
Overcast,2,2,3;23,2,Zonal PIR ceiling-only,132.0,0.0,132.0
Overcast,2,2,3;23,2,Rule-based hybrid,66.0,6.0,72.0
Overcast,2,2,3;23,2,Optimized hybrid,66.0,6.0,72.0
Overcast,2,3,4;7,1,Zonal PIR ceiling-only,118.8,0.0,118.8
Overcast,2,3,4;7,1,Rule-based hybrid,52.8,12.0,64.8
Overcast,2,3,4;7,1,Optimized hybrid,52.8,9.0,61.8
Overcast,2,4,13;18,2,Zonal PIR ceiling-only,105.6,0.0,105.6
Overcast,2,4,13;18,2,Rule-based hybrid,0.0,9.0,9.0
Overcast,2,4,13;18,2,Optimized hybrid,0.0,9.0,9.0
Overcast,2,5,21;23,1,Zonal PIR ceiling-only,0.0,0.0,0.0
Overcast,2,5,21;23,1,Rule-based hybrid,0.0,0.0,0.0
Overcast,2,5,21;23,1,Optimized hybrid,0.0,0.0,0.0
Overcast,3,1,0;1;2,1,Zonal PIR ceiling-only,132.0,0.0,132.0
Overcast,3,1,0;1;2,1,Rule-based hybrid,66.0,18.0,84.0
Overcast,3,1,0;1;2,1,Optimized hybrid,66.0,18.0,84.0
Overcast,3,2,0;17;19,2,Zonal PIR ceiling-only,198.0,0.0,198.0
Overcast,3,2,0;17;19,2,Rule-based hybrid,66.0,15.0,81.0
Overcast,3,2,0;17;19,2,Optimized hybrid,66.0,15.0,81.0
Overcast,3,3,6;7;16,2,Zonal PIR ceiling-only,184.79999999999998,0.0,184.79999999999998
Overcast,3,3,6;7;16,2,Rule-based hybrid,52.8,16.5,69.3
Overcast,3,3,6;7;16,2,Optimized hybrid,66.0,10.5,76.5
Overcast,3,4,6;20;22,2,Zonal PIR ceiling-only,105.6,0.0,105.6
Overcast,3,4,6;20;22,2,Rule-based hybrid,52.8,6.0,58.8
Overcast,3,4,6;20;22,2,Optimized hybrid,66.0,3.0,69.0
Overcast,3,5,13;17;22,2,Zonal PIR ceiling-only,105.6,0.0,105.6
Overcast,3,5,13;17;22,2,Rule-based hybrid,0.0,9.0,9.0
Overcast,3,5,13;17;22,2,Optimized hybrid,0.0,9.0,9.0
Overcast,4,1,0;5;13;22,3,Zonal PIR ceiling-only,184.79999999999998,0.0,184.79999999999998
Overcast,4,1,0;5;13;22,3,Rule-based hybrid,66.0,16.5,82.5
Overcast,4,1,0;5;13;22,3,Optimized hybrid,66.0,13.5,79.5
Overcast,4,2,2;3;10;12,2,Zonal PIR ceiling-only,224.39999999999998,0.0,224.39999999999998
Overcast,4,2,2;3;10;12,2,Rule-based hybrid,105.6,21.0,126.6
Overcast,4,2,2;3;10;12,2,Optimized hybrid,66.0,22.5,88.5
Overcast,4,3,3;8;11;19,3,Zonal PIR ceiling-only,303.59999999999997,0.0,303.59999999999997
Overcast,4,3,3;8;11;19,3,Rule-based hybrid,105.6,19.5,125.1
Overcast,4,3,3;8;11;19,3,Optimized hybrid,66.0,22.5,88.5
Overcast,4,4,4;6;8;10,2,Zonal PIR ceiling-only,211.2,0.0,211.2
Overcast,4,4,4;6;8;10,2,Rule-based hybrid,92.39999999999999,21.0,113.39999999999999
Overcast,4,4,4;6;8;10,2,Optimized hybrid,66.0,18.0,84.0
Overcast,4,5,7;8;14;18,3,Zonal PIR ceiling-only,277.2,0.0,277.2
Overcast,4,5,7;8;14;18,3,Rule-based hybrid,92.39999999999999,19.5,111.89999999999999
