weather,occupancy_count,baseline,n_layouts,baseline_mean_W,optimized_mean_W,mean_absolute_saving_W,min_absolute_saving_W,max_absolute_saving_W,relative_saving_pct_from_means,ga_lower_count,equal_count,ga_higher_count
Night,6,Rule-based hybrid,5,322.67999999999995,228.9,93.77999999999997,35.099999999999994,114.29999999999995,29.06284864261807,5,0,0
Night,7,Rule-based hybrid,5,348.29999999999995,238.14000000000001,110.15999999999994,98.09999999999997,114.29999999999995,31.627906976744175,5,0,0
Night,8,Rule-based hybrid,5,352.79999999999995,249.71999999999997,103.07999999999997,96.59999999999997,109.79999999999995,29.21768707482993,5,0,0
Night,9,Rule-based hybrid,5,357.29999999999995,254.76,102.53999999999996,98.09999999999997,114.29999999999995,28.698572628043657,5,0,0
Night,10,Rule-based hybrid,5,361.8,270.17999999999995,91.62000000000003,83.40000000000003,108.30000000000001,25.323383084577124,5,0,0
Night,11,Rule-based hybrid,5,366.3,273.78000000000003,92.52000000000002,84.90000000000003,98.10000000000002,25.257985257985265,5,0,0
Night,12,Rule-based hybrid,5,370.8,279.48,91.32000000000002,81.90000000000003,98.10000000000002,24.62783171521036,5,0,0
Night,13,Rule-based hybrid,5,375.3,283.38,91.92000000000003,83.40000000000003,98.10000000000002,24.492406075139893,5,0,0
Night,14,Rule-based hybrid,5,379.8,295.56000000000006,84.24000000000004,80.40000000000003,98.10000000000002,22.180094786729867,5,0,0
Night,15,Rule-based hybrid,5,384.3,300.35999999999996,83.94000000000003,80.40000000000003,95.10000000000002,21.84231069476972,5,0,0
Overcast,1,Rule-based hybrid,5,37.62,38.82,-1.2,-6.0,0.0,-3.1897926634768736,0,4,1
Overcast,2,Rule-based hybrid,5,44.46,43.86,0.6,0.0,3.0,1.3495276653171389,1,4,0
Overcast,3,Rule-based hybrid,5,60.42,63.9,-3.4800000000000013,-10.200000000000003,0.0,-5.759682224428999,0,3,2
Overcast,4,Rule-based hybrid,5,111.9,84.9,27.0,3.0,38.099999999999994,24.128686327077748,5,0,0
Overcast,5,Rule-based hybrid,5,116.93999999999998,87.6,29.339999999999996,0.0,41.099999999999994,25.08978963571062,4,1,0
Overcast,6,Rule-based hybrid,5,125.21999999999998,89.1,36.12,26.400000000000006,44.099999999999994,28.845232390991853,5,0,0
Overcast,7,Rule-based hybrid,5,109.13999999999999,91.5,17.640000000000004,3.0,29.400000000000006,16.162726772952176,5,0,0
Overcast,8,Rule-based hybrid,5,136.56,99.9,36.66,27.900000000000006,41.099999999999994,26.845342706502635,5,0,0
Overcast,9,Rule-based hybrid,5,139.26,102.3,36.959999999999994,24.900000000000006,44.099999999999994,26.54028436018957,5,0,0
Overcast,10,Rule-based hybrid,5,134.33999999999997,102.3,32.03999999999999,1.5,47.099999999999994,23.84993300580616,5,0,0
Overcast,11,Rule-based hybrid,5,144.48000000000002,110.1,34.379999999999995,9.0,44.099999999999994,23.795681063122917,5,0,0
Overcast,12,Rule-based hybrid,5,153.6,113.7,39.89999999999999,36.599999999999994,44.099999999999994,25.976562499999993,5,0,0
Overcast,13,Rule-based hybrid,5,161.1,117.3,43.8,42.599999999999994,45.599999999999994,27.188081936685286,5,0,0
Overcast,14,Rule-based hybrid,5,165.0,124.8,40.199999999999996,35.099999999999994,44.099999999999994,24.363636363636363,5,0,0
Overcast,15,Rule-based hybrid,5,160.38000000000002,125.1,35.279999999999994,7.5,44.099999999999994,21.99775533108866,5,0,0
